ip  frequency
66.213.206.2    1
d97082.upc-d.chello.nl  1
195.246.13.119  12
lj1117.inktomisearch.com    3
lj1027.inktomisearch.com    2
ic8234.upco.es  4
adsl-64-173-42-65.dsl.snfc21.pacbell.net    1
206-15-133-153.dialup.ziplink.net   1
c-24-20-163-223.client.comcast.net  7
200.160.249.68.bmf.com.br   2
lj1153.inktomisearch.com    2
ip-200-56-225-61-mty.marcatel.net.mx    1
lj1216.inktomisearch.com    1
208-186-146-13.nrp3.brv.mn.frontiernet.net  2
216-160-111-121.tukw.qwest.net  12
proxy0.haifa.ac.il  19
65-37-13-251.nrp2.roc.ny.frontiernet.net    5
ts05-ip44.hevanet.com   16
spot.nnacorp.com    5
lj1212.inktomisearch.com    1
lj1120.inktomisearch.com    1
dialup-5-81.tulane.edu  5
66-194-6-71.gen.twtelecom.net   1
64-93-34-186.client.dsl.net 1
lj1223.inktomisearch.com    2
1513.cps.virtua.com.br  1
64-249-27-114.client.dsl.net    1
fw.kcm.org  2
prxint-sxb3.e-i.net 14
cr020r01-3.sac.overture.com 44
pd95f99f2.dip.t-dialin.net  1
212.21.228.26   1
lj1016.inktomisearch.com    1
80.58.14.235.proxycache.rima-tde.net    4
ip68-228-43-49.tc.ph.cox.net    22
194.151.73.43   4
200.222.33.33   1
12.22.207.235   1
mail.geovariances.fr    23
66-194-6-79.gen.twtelecom.net   2
128.227.88.79   14
p5083cd5d.dip0.t-ipconnect.de   1
watchguard.cgmatane.qc.ca   2
80.58.35.111.proxycache.rima-tde.net    1
lj1018.inktomisearch.com    1
ladybug.cns.vt.edu  5
2-110.cnc.bc.ca 11
lj1025.inktomisearch.com    1
lj1115.inktomisearch.com    1
cpe-203-51-137-224.vic.bigpond.net.au   10
1-320.cnc.bc.ca 4
lj1089.inktomisearch.com    1
lj1061.inktomisearch.com    1
208-38-57-205.ip.cal.radiant.net    11
pd9e50809.dip.t-dialin.net  1
68-174-110-154.nyc.rr.com   3
195.11.231.210  1
lj1036.inktomisearch.com    7
c-24-11-14-147.client.comcast.net   2
ts04-ip92.hevanet.com   28
219.95.17.51    1
px7wh.vc.shawcable.net  1
trrc02m01-40.bctel.ca   4
lj1164.inktomisearch.com    2
212.92.37.62    14
calcite.rhyolite.com    4
142.27.64.35    7
wwwcache.lanl.gov   1
lj1052.inktomisearch.com    1
acbf6930.ipt.aol.com    2
market-mail.panduit.com 29
lj1168.inktomisearch.com    1
nb-bolz.cremona.polimi.it   1
lj1162.inktomisearch.com    2
lj1160.inktomisearch.com    1
pool-68-160-195-60.ny325.east.verizon.net   5
lj1090.inktomisearch.com    1
fw.aub.dk   2
lj1159.inktomisearch.com    1
lj1007.inktomisearch.com    1
10.0.0.153  270
h24-71-249-14.ca.shawcable.net  6
